StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
41,106.9,342.1,3.46,22.5,9.3,2.6666666666666665,0.009999999999999787,3.35,8.98,22.6,0.06815016100086972,2.6000000000000085,True,1,Rowing segment,-0.003895714713814907,-0.0033519553072626973,0.0,False,False,0.0,100.0,100.0,100.0,77.78801444162198,96.7
42,109.5,351.3,3.5,23.5,9.3,2.5531914893617023,0.040000000000000036,3.375,9.040000000000001,22.65,0.07306770072260987,2.5999999999999943,True,1,Rowing segment,-0.01138747377884335,-0.010055865921787893,0.0022123893805308477,False,False,0.0,100.0,100.0,98.89380530973457,72.57738394341203,95.7
43,112.3,361.1,3.51,22.5,9.7,2.6666666666666665,0.009999999999999787,3.3979999999999997,9.14,22.6,0.07598245411496857,2.799999999999997,True,1,Rowing segment,-0.018279892118669448,-0.021229050279329753,0.0,False,False,0.0,100.0,100.0,100.0,69.48890804278204,95.4
44,114.9,370.1,3.44,21.5,9.0,2.7906976744186047,-0.06999999999999984,3.408,9.15,22.55,0.07405703507732678,2.6000000000000085,True,1,Rowing segment,-0.021276595744680906,-0.02234636871508392,0.0022123893805310046,False,False,0.0,100.0,100.0,98.89380530973449,71.52908417293442,95.6
45,118.1,380.3,3.31,19.5,10.2,3.076923076923077,-0.1299999999999999,3.404,9.169999999999998,22.4,0.07848566748139413,3.1999999999999886,True,1,Rowing segment,-0.02007791429427635,-0.024581005586592052,0.008849557522124019,False,False,0.0,100.0,100.0,95.57522123893798,66.8365004063048,94.4
46,120.5,388.5,3.25,23.0,8.2,2.608695652173913,-0.06000000000000005,3.397,9.059999999999999,22.6,0.08920014947670565,2.4000000000000057,True,1,Rowing segment,-0.01798022175606834,-0.012290502793296026,0.0,False,False,0.0,100.0,100.0,100.0,55.48342349866458,93.3
47,123.3,397.3,3.32,21.5,8.8,2.7906976744186047,0.06999999999999984,3.397,9.12,22.4,0.08920014947670565,2.799999999999997,True,1,Rowing segment,-0.01798022175606834,-0.018994413407821223,0.008849557522124019,False,False,0.0,100.0,100.0,95.57522123893798,55.48342349866458,92.7
48,126.3,406.9,3.36,22.0,9.6,2.727272727272727,0.040000000000000036,3.4,9.22,22.25,0.08717797887081329,3.0,True,1,Rowing segment,-0.01887923284387179,-0.03016759776536328,0.015486725663716876,False,False,0.0,100.0,100.0,92.25663716814157,57.626117696957266,92.5
49,128.9,416.2,3.33,22.0,9.3,2.727272727272727,-0.029999999999999805,3.393,9.25,22.1,0.08994442728707527,2.6000000000000085,True,1,Rowing segment,-0.016781540305663787,-0.03351955307262578,0.022123893805309734,False,False,0.0,100.0,100.0,88.93805309734513,54.6947859121276,91.5
50,131.7,425.6,3.3,21.0,9.3,2.857142857142857,-0.03000000000000025,3.378,9.27,21.9,0.09186947262284668,2.799999999999983,True,1,Rowing segment,-0.0122864848666468,-0.03575418994413411,0.030973451327433753,False,False,0.0,100.0,100.0,84.51327433628313,52.65500575688814,90.6
51,134.3,434.2,3.24,22.0,8.7,2.727272727272727,-0.05999999999999961,3.3560000000000003,9.209999999999999,21.85,0.09628660919936417,2.6000000000000227,True,1,Rowing segment,-0.005693736889421808,-0.02905027932960892,0.0331858407079646,False,False,0.0,100.0,100.0,83.4070796460177,47.974602981775206,89.7
52,137.1,443.5,3.23,21.0,9.3,2.857142857142857,-0.010000000000000231,3.3289999999999997,9.209999999999999,21.6,0.08900062421753609,2.799999999999983,True,1,Rowing segment,0.0023973629008091123,-0.02905027932960892,0.04424778761061947,False,False,0.0,98.8013185495954,100.0,77.87610619469027,55.69484068274871,89.6
53,139.9,452.9,3.27,21.5,9.4,2.7906976744186047,0.040000000000000036,3.3050000000000006,9.18,21.5,0.06346477588219893,2.8000000000000114,True,1,Rowing segment,0.009589451603236184,-0.025698324022346418,0.04867256637168148,False,False,0.0,95.20527419838186,100.0,75.66371681415927,82.7526536670609,92.1
54,142.7,462.2,3.29,22.5,9.3,2.6666666666666665,0.020000000000000018,3.29,9.209999999999999,21.6,0.0421637021355778,2.799999999999983,True,1,Rowing segment,0.014084507042253435,-0.02905027932960892,0.04424778761061947,False,False,0.0,92.95774647887328,100.0,77.87610619469027,100.0,94.2
55,145.7,472.5,3.37,19.5,10.3,3.076923076923077,0.08000000000000007,3.2960000000000003,9.220000000000002,21.6,0.049035134795821646,3.0,True,1,Rowing segment,0.012286484866646534,-0.030167597765363482,0.04424778761061947,False,False,0.0,93.8567575666767,100.0,77.87610619469027,98.04231723408836,94.2
56,148.3,481.6,3.42,23.0,9.0,2.608695652173913,0.04999999999999982,3.3129999999999997,9.3,21.6,0.05963779562212724,2.6000000000000227,True,1,Rowing segment,0.007192088702427337,-0.03910614525139681,0.04424778761061947,False,False,0.0,96.40395564878628,100.0,77.87610619469027,86.80772616012466,93.4
57,151.1,491.0,3.4,21.5,9.5,2.7906976744186047,-0.020000000000000018,3.321,9.37,21.6,0.06573515886579309,2.799999999999983,True,1,Rowing segment,0.004794725801618092,-0.04692737430167598,0.04424778761061947,False,False,0.0,97.60263709919091,100.0,77.87610619469027,80.34695336033386,92.9
58,153.9,500.5,3.37,21.5,9.5,2.7906976744186047,-0.029999999999999805,3.322,9.36,21.55,0.06646636576327704,2.8000000000000114,True,1,Rowing segment,0.0044950554390169855,-0.04581005586592181,0.04646017699115047,False,False,0.0,97.75247228049149,100.0,76.76991150442475,79.57216572746792,92.7
59,156.4,508.9,3.39,22.5,8.4,2.6666666666666665,0.020000000000000018,3.3280000000000003,9.27,21.6,0.06988880056521499,2.5,True,1,Rowing segment,0.002697033263410085,-0.03575418994413411,0.04424778761061947,False,False,0.0,98.65148336829493,100.0,77.87610619469027,75.94575004682294,92.6
60,159.3,518.4,3.44,23.0,9.4,2.608695652173913,0.04999999999999982,3.342,9.280000000000001,21.8,0.07728734264634339,2.9000000000000057,True,1,Rowing segment,-0.001498351813005795,-0.03687150837988848,0.0353982300884956,False,False,0.0,100.0,100.0,82.3008849557522,68.10624671962348,92.6
61,161.7,527.3,3.48,23.0,9.0,2.608695652173913,0.040000000000000036,3.3660000000000005,9.31,21.9,0.07933053216343194,2.3999999999999773,True,1,Rowing segment,-0.008690440515433264,-0.040223463687150976,0.030973451327433753,False,False,0.0,100.0,100.0,84.51327433628313,65.94128085990755,92.6
